RP11-34P13.7
FO538757.2
AP006222.2
RP4-669L17.10
RP11-206L10.9
LINC00115
FAM41C
NOC2L
KLHL17
HES4
ISG15
AGRN
C1orf159
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
FAM132A
RP5-902P8.12
UBE2J2
SCNN1D
ACAP3
PUSL1
CPSF3L
CPTP
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20
RP4-758J18.13
ANKRD65
ATAD3C
ATAD3B
ATAD3A
SSU72
RP5-832C2.5
C1orf233
RP11-345P4.9
MIB2
MMP23B
CDK11B
RP11-345P4.10
SLC35E2B
RP11-345P4.7
CDK11A
SLC35E2
NADK
GNB1
RP1-140A9.1
TMEM52
CFAP74
PRKCZ
RP5-892K4.1
RP11-181G12.2
FAAP20
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
RP3-395M20.12
RP3-395M20.8
TNFRSF14
RP3-395M20.9
FAM213B
MMEL1
TTC34
MEGF6
TPRG1L
WRAP73
TP73-AS1
SMIM1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
NPHP4
KCNAB2
CHD5
RPL22
ICMT
ACOT7
RP1-202O8.3
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1
VAMP3
PER3
RP3-467L1.4
TNFRSF9
PARK7
ERRFI1
SLC45A1
RERE
RP5-1115A15.1
RP4-633I8.4
ENO1
ENO1-AS1
CA6
SLC2A5
GPR157
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
APITD1
DFFA
PEX14
CASZ1
TARDBP
RP4-635E18.8
SRM
EXOSC10
RP4-635E18.6
MTOR
UBIAD1
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPA-AS1
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
PRDM2
EFHD2
CASP9
DNAJC16
AGMAT
DDI2
PLEKHM2
FBLIM1
UQCRHL
FLJ37453
SPEN
ZBTB17
ARHGEF19
RSG1
FBXO42
SZRD1
SPATA21
NECAP2
RP4-798A10.2
RP4-798A10.7
RP4-798A10.4
NBPF1
CROCC
RP11-108M9.4
RP11-108M9.6
ATP13A2
SDHB
PADI2
PADI4
RCC2
ARHGEF10L
ALDH4A1
IFFO2
UBR4
RP1-43E13.2
EMC1
MRTO4
AKR7A3
AKR7A2
PQLC2
CAPZB
MINOS1
NBL1
TMCO4
OTUD3
PLA2G2D
PLA2G2C
MUL1
CDA
PINK1
PINK1-AS
DDOST
HP1BP3
EIF4G3
ECE1
RP5-1071N3.1
NBPF3
ALPL
USP48
HSPG2
RP1-224A6.3
LINC00339
CDC42
ZBTB40
C1QA
C1QB
KDM1A
LUZP1
LINC01355
HNRNPR
ZNF436
ZNF436-AS1
RP5-1057J7.7
TCEA3
E2F2
RP1-150O5.3
ID3
MDS2
RPL11
TCEB3
TCEB3-AS1
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
SRSF10
IFNLR1
STPG1
NIPAL3
RCAN3
RP4-594I10.3
SRRM1
CLIC4
RUNX3
SYF2
RSRP1
RP3-465N24.6
RHD
TMEM50A
TMEM57
LDLRAP1
MAN1C1
RP1-187B23.1
SEPN1
RP1-317E23.3
MTFR1L
RP1-125I3.2
PAQR7
STMN1
PAFAH2
SLC30A2
PDIK1L
ZNF593
CNKSR1
CEP85
SH3BGRL3
UBXN11
CD52
AIM1L
ZNF683
DHDDS
HMGN2
RPS6KA1
RP5-968P14.2
ARID1A
PIGV
ZDHHC18
GPN2
GPATCH3
NUDC
KDF1
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
WASF2
RP1-159A19.4
AHDC1
FGR
IFI6
FAM76A
STX12
PPP1R8
THEMIS2
RPA2
XKR8
EYA3
PTAFR
DNAJC8
ATPIF1
RP5-1092A3.4
SESN2
MED18
PHACTR4
RCC1
TRNAU1AP
SNHG12
TAF12
RP11-442N24--B.1
RNU11
GMEB1
YTHDF2
EPB41
SRSF4
MECR
MATN1
MATN1-AS1
LAPTM5
PUM1
SNRNP40
ZCCHC17
PEF1
RP11-73M7.9
COL16A1
RP11-84A19.2
RP11-84A19.4
PTP4A2
KHDRBS1
RP11-277A4.4
TMEM39B
KPNA6
TXLNA
CCDC28B
RP4-622L5.7
IQCC
TMEM234
EIF3I
FAM167B
LCK
HDAC1
MARCKSL1
TSSK3
FAM229A
BSDC1
ZBTB8A
ZBTB8OS
RBBP4
SYNC
YARS
