IGLC3
IGLC2
IGLC7
CCL5
NKG7
KLRB1
TRBC1
IL32
TRAC
DOPEY2
IL7R
GNLY
IGKC
IGLC6
CD3D
CD3E
CMC1
CYB5D2
CST7
S100A4
GZMA
DUSP2
KLRD1
GIMAP7
JUNB
FYB
RP11-291B21.2
JUN
IGHG1
CDK12
HCST
TCL1B
CTSW
CD8B
LYAR
CD7
FOS
LGALS1
LDHB
RP5-887A10.1
ISG15
CD3G
H3F3B
IFI44L
TRAT1
GZMK
PTGDR
AC013264.2
IGLL5
GIMAP4
CD69
SOCS3
JCHAIN
IFITM1
H1FX
PPP1R14A
RGS2
PRF1
KLK1
TRGC2
HIST1H2BG
IER2
CD27
TYROBP
EGR1
ACTG1
OAS3
VIM
ITM2C
RGS1
TSHZ2
LCK
RORA
GZMB
NOSIP
RGS18
CD160
AC092580.4
DNAJC3-AS1
LMNA
SOX4
PTGER4
PIGBOS1
LINC01550
CRIP1
B2M
CITED2
ID3
MAL
SUGCT
GNG8
KLRC1
KCNG1
IGHA1
GNG11
DNAJB1
RP11-164H13.1
FAM13A
LAT
ANXA1
GNG3
CTC-559E9.1
FCRL6
SYCE1
PF4
RHOB
CDKN2A
ACTB
TRBC2
RGCC
AC074289.1
S100A10
LEF1
PIM1
HTR3A
S100A6
IL6
GBP2
FLT3LG
ANKRD34A
RP11-307C12.13
ATP6V1C2
ADAM23
NEK11
RP11-10L12.4
RP11-223C24.1
SCML2
CASK
RP11-195F19.5
TDRD7
NALT1
LCN8
C11orf74
C11orf98
CLPB
RP11-89C3.4
CPNE8
APOBR
TEX14
AP005530.2
PTGIS
PEX11G
CDC42EP1
RP1-100J12.1
CD2
PEG10
KLF6
NFKBIA
RP11-758H9.2
TPT1
RGS10
TCOF1
RPS14
SLC2A3
FYN
LDLRAP1
LEPROTL1
PLD4
HSPA8
AIM2
CHL1
ZNF93
IL6R
PTGER2
TTC28
NEAT1
SLC27A5
HOPX
GIMAP1
IGHM
BDH2
MYC
DUSP1
DNASE1L3
LTB
PRMT9
TCF7
RP11-386I14.4
ITGB1
RPS12
LTA
IRF1
NEIL1
GATA3
KLRF1
LRRN3
PLP2
CCL3
TNFRSF4
HLA-A
SAT1
CD247
KLRG1
SORL1
CEP85
FPGT-TNNI3K
MIR3681HG
AC009501.4
APLF
ACVR2A
ERMN
KIF15
ZBTB49
DST
TXLNB
MLLT4
CAV1
FAM71F2
TAS2R4
VSIG1
BCORL1
CRTAM
C10orf25
C10orf35
LINC00643
IGHV1-3
FITM2
LYPD3
ZNF283
SEC14L2
CALM1
ARL4C
CD1C
DFNA5
RP11-258F1.1
LINC00467
HNRNPH1
TRDC
TSC22D3
COTL1
OTUD1
KNOP1
WDPCP
CD28
NNT-AS1
MX1
SRGN
IFI6
TCP11L2
AQP3
ZFP36L2
CD8A
HLA-B
RPS18
FKBP11
CD9
HLA-C
RP11-263K19.4
